mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,horsepower_log
37.0,4,91.0,68,2025,18.2,82,3,mazda glc custom l,4.219507705176107
31.0,4,91.0,68,1970,17.6,82,3,mazda glc custom,4.219507705176107
38.0,4,105.0,63,2125,14.7,82,1,plymouth horizon miser,4.143134726391533
36.0,4,98.0,70,2125,17.3,82,1,mercury lynx l,4.248495242049359
36.0,4,120.0,88,2160,14.5,82,3,nissan stanza xe,4.477336814478207
36.0,4,107.0,75,2205,14.5,82,3,honda accord,4.31748811353631
34.0,4,108.0,70,2245,16.9,82,3,toyota corolla,4.248495242049359
38.0,4,91.0,67,1965,15.0,82,3,honda civic,4.204692619390966
32.0,4,91.0,67,1965,15.7,82,3,honda civic (auto),4.204692619390966
38.0,4,91.0,67,1995,16.2,82,3,datsun 310 gx,4.204692619390966
25.0,6,181.0,110,2945,16.4,82,1,buick century limited,4.700480365792417
38.0,6,262.0,85,3015,17.0,82,1,oldsmobile cutlass ciera (diesel),4.442651256490317
26.0,4,156.0,92,2585,14.5,82,1,chrysler lebaron medallion,4.5217885770490405
22.0,6,232.0,112,2835,14.7,82,1,ford granada l,4.718498871295094
32.0,4,144.0,96,2665,13.9,82,3,toyota celica gt,4.564348191467836
36.0,4,135.0,84,2370,13.0,82,1,dodge charger 2.2,4.430816798843313
27.0,4,151.0,90,2950,17.3,82,1,chevrolet camaro,4.499809670330265
27.0,4,140.0,86,2790,15.6,82,1,ford mustang gl,4.454347296253507
32.0,4,135.0,84,2295,11.6,82,1,dodge rampage,4.430816798843313
28.0,4,120.0,79,2625,18.6,82,1,ford ranger,4.3694478524670215
31.0,4,119.0,82,2720,19.4,82,1,chevy s-10,4.406719247264253
